Symbol,Entry,Exit,PnL,Return %,Reason
PL,7.705,9.02,6815.644999999997,17.066839714471115,PARTIAL_PROFIT_3R
PL,8.20326923076923,9.2,0.0,0.0,PYRAMID_ADD
CRDO,168.50420999999997,163.42,-4001.2732699999906,-3.0172599248410426,
UAMY,15.09677295638834,15.96,0.0,0.0,PYRAMID_ADD
UAMY,15.09677295638834,15.09677295638834,0.0,0.0,HARD_STOP
ABAT,10.035,8.58,-13493.669999999998,-14.499252615844549,HARD_STOP
PL,8.20326923076923,14.001271428571428,45073.66908571428,70.67916503404233,HARD_STOP
TTMI,60.64,67.2,7353.759999999995,10.817941952506605,PARTIAL_PROFIT_3R
TTMI,62.89,67.39,0.0,0.0,PYRAMID_ADD
W,98.5,99.43,818.4000000000087,0.9441624365482237,DEAD_MONEY_STOP
CIFR,21.910949999999996,24.71,8794.615100000025,12.774662896862088,PARTIAL_PROFIT_3R
MLYS,24.903333333333332,37.938607142857144,32027.66775,52.34349006635182,HARD_STOP
CIFR,22.62714803775986,24.06,0.0,0.0,PYRAMID_ADD
CIFR,22.62714803775986,22.62714803775986,0.0,0.0,HARD_STOP
LMND,67.7,75.13,5044.969999999994,10.97488921713441,PARTIAL_PROFIT_3R
LMND,69.65,73.55,0.0,0.0,PYRAMID_ADD
LMND,69.65,69.65,0.0,0.0,HARD_STOP
FRGE,43.7,44.58,916.9599999999991,2.013729977116685,PARTIAL_PROFIT_3R
TTMI,62.89,62.89,0.0,0.0,HARD_STOP
FRGE,43.7,44.11,427.6299999999901,0.9382151029748265,DEAD_MONEY_STOP
REAL,13.96,14.7,0.0,0.0,PYRAMID_ADD
REAL,13.96,13.96,0.0,0.0,HARD_STOP
AVDL,23.27,22.76,-1956.3600000000006,-2.1916630855178254,HARD_STOP
KSS,19.49,24.1,10520.020000000011,23.653155464340703,PARTIAL_PROFIT_3R
KSS,21.02955023364486,24.11,0.0,0.0,PYRAMID_ADD
DBI,5.96,8.47,19347.08,42.114093959731555,PARTIAL_PROFIT_3R
DBI,6.756597768745134,8.35,0.0,0.0,PYRAMID_ADD
NESR,14.77,14.89,1154.4000000000233,0.8124576844956044,DEAD_MONEY_STOP
ZUMZ,30.005,29.12,-2705.445000000007,-2.9495084152641127,DEAD_MONEY_STOP
KSS,21.02955023364486,21.02955023364486,0.0,0.0,HARD_STOP
DBI,6.756597768745134,6.980092857142857,2584.2737071428564,3.307805141687914,HARD_STOP
DSGN,10.175085,10.21,499.6336500000034,0.3431420966016674,DEAD_MONEY_STOP
